date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00400A.TW,主動國泰動能高息,9807020,2944043,6862977,0,0,0,0,0,0,14954683,21568040,-6613357,0,2666000,-2666000,14954683,18902040,-3947357,249620,TWSE
2026-05-29,00401A.TW,主動摩根台灣鑫收,852020,96000,756020,0,0,0,0,0,0,3981463,3366205,615258,0,0,0,3981463,3366205,615258,1371278,TWSE
2026-05-29,00403A.TW,主動統一升級50,158420954,46256999,112163955,0,0,0,0,0,0,70798392,29305046,41493346,0,7769000,-7769000,70798392,21536046,49262346,153657301,TWSE
2026-05-29,0050.TW,元大台灣50,35229302,20219510,15009792,0,0,0,5380000,70000,5310000,20892954,13482029,7410925,706000,1729397,-1023397,20186954,11752632,8434322,27730717,TWSE
2026-05-29,0051.TW,元大中型100,9025,0,9025,0,0,0,0,0,0,10423,7341,3082,0,0,0,10423,7341,3082,12107,TWSE
2026-05-29,0052.TW,富邦科技,9991831,7091020,2900811,0,0,0,0,0,0,11022654,5387904,5634750,1962362,368000,1594362,9060292,5019904,4040388,8535561,TWSE
2026-05-29,0053.TW,元大電子,2000,0,2000,0,0,0,0,0,0,9000,9654,-654,0,0,0,9000,9654,-654,1346,TWSE
2026-05-29,0055.TW,元大MSCI金融,203600,0,203600,0,0,0,0,0,0,275092,82945,192147,0,0,0,275092,82945,192147,395747,TWSE
2026-05-29,0056.TW,元大高股息,25841380,5004916,20836464,0,0,0,100000,0,100000,14935821,454020,14481801,144000,95386,48614,14791821,358634,14433187,35418265,TWSE
2026-05-29,0057.TW,富邦摩台,0,0,0,0,0,0,0,0,0,77283,77018,265,0,0,0,77283,77018,265,265,TWSE
2026-05-29,0061.TW,元大寶滬深,270000,145,269855,0,0,0,0,0,0,396786,19689,377097,0,0,0,396786,19689,377097,646952,TWSE
2026-05-29,006201.TW,元大富櫃50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,006203.TW,元大MSCI台灣,3000,1000,2000,0,0,0,0,0,0,21029,26000,-4971,0,0,0,21029,26000,-4971,-2971,TWSE
2026-05-29,006204.TW,永豐臺灣加權,0,5000,-5000,0,0,0,0,0,0,61610,55000,6610,0,0,0,61610,55000,6610,1610,TWSE
2026-05-29,006205.TW,富邦上証,643000,0,643000,0,0,0,0,0,0,720543,929020,-208477,0,0,0,720543,929020,-208477,434523,TWSE
2026-05-29,006206.TW,元大上證50,211000,0,211000,0,0,0,0,0,0,44063,191000,-146937,0,0,0,44063,191000,-146937,64063,TWSE
2026-05-29,006207.TW,復華滬深,120000,29174,90826,0,0,0,0,0,0,123998,195233,-71235,0,0,0,123998,195233,-71235,19591,TWSE
2026-05-29,006208.TW,富邦台50,1362852,319888,1042964,0,0,0,0,0,0,2111712,704985,1406727,0,150000,-150000,2111712,554985,1556727,2449691,TWSE
2026-05-29,00631L.TW,元大台灣50正2,28202327,24949180,3253147,0,0,0,0,0,0,43433823,36718928,6714895,3413000,68000,3345000,40020823,36650928,3369895,9968042,TWSE
2026-05-29,00632R.TW,元大台灣50反1,210000,1742000,-1532000,0,0,0,0,0,0,37024000,60202238,-23178238,0,1996000,-1996000,37024000,58206238,-21182238,-24710238,TWSE
2026-05-29,00633L.TW,富邦上証正2,1076000,516000,560000,0,0,0,0,0,0,5261090,1465333,3795757,361000,0,361000,4900090,1465333,3434757,4355757,TWSE
2026-05-29,00634R.TW,富邦上証反1,0,0,0,0,0,0,0,0,0,910000,1068539,-158539,0,0,0,910000,1068539,-158539,-158539,TWSE
2026-05-29,00635U.TW,期元大S&P黃金,32366,153000,-120634,0,0,0,0,0,0,4050460,907,4049553,31000,0,31000,4019460,907,4018553,3928919,TWSE
2026-05-29,00636.TW,國泰中國A50,55000,88000,-33000,0,0,0,0,0,0,936228,457714,478514,0,0,0,936228,457714,478514,445514,TWSE
2026-05-29,00636K.TW,國泰中國A50+U,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,200,200,0,0,TWSE
2026-05-29,00637L.TW,元大滬深300正2,10700000,1874000,8826000,0,0,0,0,0,0,23422433,6819871,16602562,0,0,0,23422433,6819871,16602562,25428562,TWSE
2026-05-29,00638R.TW,元大滬深300反1,0,0,0,0,0,0,0,0,0,122000,260175,-138175,0,0,0,122000,260175,-138175,-138175,TWSE
2026-05-29,00639.TW,富邦深100,464000,107000,357000,0,0,0,0,0,0,1355215,455736,899479,0,0,0,1355215,455736,899479,1256479,TWSE
2026-05-29,00640L.TW,富邦日本正2,4000,23000,-19000,0,0,0,0,0,0,232024,27449,204575,0,0,0,232024,27449,204575,185575,TWSE
2026-05-29,00641R.TW,富邦日本反1,0,0,0,0,0,0,0,0,0,13000,1117536,-1104536,0,0,0,13000,1117536,-1104536,-1104536,TWSE
2026-05-29,00642U.TW,期元大S&P石油,711243,854000,-142757,0,0,0,0,0,0,453246,3116328,-2663082,0,0,0,453246,3116328,-2663082,-2805839,TWSE
2026-05-29,00643.TW,群益深証中小,52000,120000,-68000,0,0,0,0,0,0,2265350,1829438,435912,0,0,0,2265350,1829438,435912,367912,TWSE
2026-05-29,00645.TW,富邦日本,3000,3000,0,0,0,0,0,0,0,1318659,7000,1311659,0,0,0,1318659,7000,1311659,1311659,TWSE
2026-05-29,00646.TW,元大S&P500,155700,200,155500,0,0,0,0,0,0,1091012,484000,607012,0,0,0,1091012,484000,607012,762512,TWSE
2026-05-29,00647L.TW,元大S&P500正2,0,0,0,0,0,0,0,0,0,29077,33001,-3924,0,0,0,29077,33001,-3924,-3924,TWSE
2026-05-29,00648R.TW,元大S&P500反1,5000,0,5000,0,0,0,0,0,0,428000,1871,426129,0,0,0,428000,1871,426129,431129,TWSE
2026-05-29,00650L.TW,復華香港正2,625000,431000,194000,0,0,0,0,0,0,2358108,1011944,1346164,0,250,-250,2358108,1011694,1346414,1540164,TWSE
2026-05-29,00651R.TW,復華香港反1,0,24000,-24000,0,0,0,0,0,0,12999,52602,-39603,0,0,0,12999,52602,-39603,-63603,TWSE
2026-05-29,00652.TW,富邦印度,20,2000,-1980,0,0,0,0,0,0,195055,52000,143055,2000,0,2000,193055,52000,141055,141075,TWSE
2026-05-29,00653L.TW,富邦印度正2,3000,3000,0,0,0,0,0,0,0,337681,37612,300069,0,0,0,337681,37612,300069,300069,TWSE
2026-05-29,00654R.TW,富邦印度反1,0,0,0,0,0,0,0,0,0,26000,41760,-15760,0,0,0,26000,41760,-15760,-15760,TWSE
2026-05-29,00655L.TW,國泰中國A50正2,306000,140000,166000,0,0,0,0,0,0,3247083,1257803,1989280,0,0,0,3247083,1257803,1989280,2155280,TWSE
2026-05-29,00656R.TW,國泰中國A50反1,0,0,0,0,0,0,0,0,0,1377000,1352085,24915,0,0,0,1377000,1352085,24915,24915,TWSE
2026-05-29,00657.TW,國泰日經225,0,0,0,0,0,0,0,0,0,27462,9000,18462,0,0,0,27462,9000,18462,18462,TWSE
2026-05-29,00657K.TW,國泰日經225+U,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,TWSE
2026-05-29,00660.TW,元大歐洲50,0,0,0,0,0,0,0,0,0,3000,0,3000,0,0,0,3000,0,3000,3000,TWSE
2026-05-29,00661.TW,元大日經225,35060,0,35060,0,0,0,0,0,0,57544,11000,46544,0,0,0,57544,11000,46544,81604,TWSE
2026-05-29,00662.TW,富邦NASDAQ,120385,675050,-554665,0,0,0,0,0,0,618000,681560,-63560,0,0,0,618000,681560,-63560,-618225,TWSE
2026-05-29,00663L.TW,國泰臺灣加權正2,797000,869210,-72210,0,0,0,0,0,0,5357366,3733880,1623486,0,170000,-170000,5357366,3563880,1793486,1551276,TWSE
2026-05-29,00664R.TW,國泰臺灣加權反1,0,0,0,0,0,0,0,0,0,6325000,17443872,-11118872,0,0,0,6325000,17443872,-11118872,-11118872,TWSE
2026-05-29,00665L.TW,富邦恒生國企正2,2217000,1092000,1125000,0,0,0,0,0,0,6778512,3082577,3695935,0,0,0,6778512,3082577,3695935,4820935,TWSE
2026-05-29,00666R.TW,富邦恒生國企反1,0,0,0,0,0,0,0,0,0,160000,158320,1680,0,0,0,160000,158320,1680,1680,TWSE
2026-05-29,00668.TW,國泰美國道瓊,0,1000,-1000,0,0,0,0,0,0,96043,9000,87043,0,0,0,96043,9000,87043,86043,TWSE
2026-05-29,00668K.TW,國泰美國道瓊+U,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,200,200,0,0,TWSE
2026-05-29,00669R.TW,國泰美國道瓊反1,0,0,0,0,0,0,0,0,0,1035000,513800,521200,0,0,0,1035000,513800,521200,521200,TWSE
2026-05-29,00670L.TW,富邦NASDAQ正2,0,45000,-45000,0,0,0,0,0,0,415312,137016,278296,0,0,0,415312,137016,278296,233296,TWSE
2026-05-29,00671R.TW,富邦NASDAQ反1,0,50000,-50000,0,0,0,0,0,0,2798000,458310,2339690,0,0,0,2798000,458310,2339690,2289690,TWSE
