event_date,stock_id,stock_name,lead_factor,event_type,factor_before,factor_after,factor_change,deeptrend_before,deeptrend_after,close_at_event,price_drop_after,lead_days,close_1d,return_1d,close_3d,return_3d,close_5d,return_5d,close_10d,return_10d
2026-06-09,0056.TW,元大高股息,籌碼面,因子轉弱,80.0,-80.0,-160.0,38.0,-24.0,49.45,False,,51.25,3.6400404448938257,49.59,0.28311425682507696,51.55,4.246713852376126,53.15,7.482305358948424
2026-06-09,1802.TW,台玻,技術面,因子轉弱,-20.0,-55.0,-35.0,-30.0,-44.0,62.0,True,3,63.0,1.6129032258064515,59.3,-4.354838709677424,68.2,10.000000000000005,69.3,11.774193548387093
2026-06-09,2002.TW,中鋼,技術面,因子轉弱,20.0,-20.0,-40.0,2.0,-30.0,18.65,False,,18.75,0.5361930294906243,18.55,-0.5361930294906053,18.65,0.0,19.35,3.753351206434332
2026-06-09,2002.TW,中鋼,籌碼面,因子轉弱,-15.0,-55.0,-40.0,2.0,-30.0,18.65,False,,18.75,0.5361930294906243,18.55,-0.5361930294906053,18.65,0.0,19.35,3.753351206434332
2026-06-09,2027.TW,大成鋼,技術面,因子轉弱,45.0,15.0,-30.0,42.0,18.0,41.8,False,,42.9,2.631578947368425,42.55,1.7942583732057416,41.7,-0.23923444976075198,40.55,-2.9904306220095696
2026-06-09,2027.TW,大成鋼,籌碼面,因子轉弱,60.0,30.0,-30.0,42.0,18.0,41.8,False,,42.9,2.631578947368425,42.55,1.7942583732057416,41.7,-0.23923444976075198,40.55,-2.9904306220095696
2026-06-09,2308.TW,台達電,籌碼面,因子轉弱,-50.0,-100.0,-50.0,-24.0,-44.0,2255.0,True,3,2415.0,7.095343680709535,2160.0,-4.212860310421286,2445.0,8.425720620842572,2000.0,-11.30820399113082
2026-06-09,2313.TW,華通,技術面,因子轉弱,-10.0,-35.0,-25.0,-34.0,-44.0,252.0,True,10,276.0,9.523809523809524,275.0,9.126984126984127,249.0,-1.1904761904761905,240.0,-4.761904761904762
2026-06-09,2337.TW,旺宏,技術面,因子轉弱,5.0,-20.0,-25.0,22.0,12.0,143.5,False,,145.5,1.3937282229965158,140.0,-2.4390243902439024,166.5,16.02787456445993,172.0,19.860627177700348
2026-06-09,2338.TW,光罩,技術面,因子轉弱,-20.0,-45.0,-25.0,-30.0,-40.0,46.3,False,,47.5,2.5917926565874794,46.8,1.0799136069114472,52.8,14.038876889848813,51.6,11.44708423326135
2026-06-09,2345.TW,智邦,籌碼面,因子轉弱,0.0,-45.0,-45.0,-8.0,-26.0,2420.0,True,3,2475.0,2.272727272727273,2275.0,-5.991735537190083,2520.0,4.132231404958678,2375.0,-1.859504132231405
2026-06-09,2374.TW,佳能,技術面,因子轉弱,5.0,-80.0,-85.0,-28.0,-62.0,72.6,False,,74.7,2.892561983471086,71.7,-1.2396694214875916,74.5,2.6170798898071705,75.5,3.9944903581267304
2026-06-09,2408.TW,南亞科,籌碼面,因子轉弱,50.0,-55.0,-105.0,22.0,-20.0,339.5,False,,363.0,6.9219440353460975,340.0,0.14727540500736377,425.0,25.184094256259204,443.5,30.633284241531666
2026-06-09,2409.TW,友達,技術面,因子轉弱,45.0,5.0,-40.0,-4.0,-10.0,24.4,True,3,24.0,-1.6393442622950762,23.15,-5.122950819672131,23.9,-2.0491803278688527,30.5,25.000000000000007
2026-06-09,2454.TW,聯發科,籌碼面,因子轉弱,30.0,-75.0,-105.0,14.0,-34.0,4070.0,False,,4475.0,9.950859950859952,4085.0,0.36855036855036855,4560.0,12.039312039312039,4285.0,5.282555282555283
2026-06-09,2485.TW,兆赫,技術面,因子轉弱,-20.0,-55.0,-35.0,-38.0,-42.0,63.2,True,5,68.0,7.594936708860754,64.8,2.531645569620244,60.5,-4.272151898734181,58.8,-6.962025316455706
2026-06-09,2609.TW,陽明,技術面,因子轉弱,55.0,15.0,-40.0,46.0,-26.0,51.7,False,,51.6,-0.19342359767891956,51.1,-1.1605415860735036,51.0,-1.3539651837524231,51.6,-0.19342359767891956
2026-06-09,2609.TW,陽明,籌碼面,因子轉弱,60.0,-80.0,-140.0,46.0,-26.0,51.7,False,,51.6,-0.19342359767891956,51.1,-1.1605415860735036,51.0,-1.3539651837524231,51.6,-0.19342359767891956
2026-06-09,2618.TW,長榮航,技術面,因子轉弱,60.0,5.0,-55.0,36.0,-20.0,36.4,False,,37.0,1.6483516483516523,37.7,3.571428571428583,39.75,9.203296703296708,44.0,20.879120879120883
2026-06-09,2618.TW,長榮航,籌碼面,因子轉弱,30.0,-55.0,-85.0,36.0,-20.0,36.4,False,,37.0,1.6483516483516523,37.7,3.571428571428583,39.75,9.203296703296708,44.0,20.879120879120883
2026-06-09,2707.TW,晶華,技術面,因子轉弱,70.0,50.0,-20.0,52.0,40.0,178.5,False,,178.0,-0.2801120448179272,179.5,0.5602240896358543,180.0,0.8403361344537815,180.0,0.8403361344537815
2026-06-09,2748.TW,雲品,技術面,因子轉弱,25.0,-30.0,-55.0,18.0,4.0,39.45,False,,39.5,0.1267427122940359,40.05,1.5209125475285026,40.7,3.168567807351077,39.8,0.8871989860582873
2026-06-09,3017.TW,奇鋐,技術面,因子轉弱,5.0,-20.0,-25.0,10.0,-26.0,2570.0,True,3,2545.0,-0.9727626459143969,2335.0,-9.14396887159533,2370.0,-7.782101167315175,2530.0,-1.556420233463035
2026-06-09,3017.TW,奇鋐,籌碼面,因子轉弱,20.0,-45.0,-65.0,10.0,-26.0,2570.0,True,3,2545.0,-0.9727626459143969,2335.0,-9.14396887159533,2370.0,-7.782101167315175,2530.0,-1.556420233463035
2026-06-09,3035.TW,智原,技術面,因子轉弱,-20.0,-55.0,-35.0,-30.0,-28.0,176.0,False,,186.0,5.681818181818182,178.0,1.1363636363636365,201.0,14.204545454545455,230.5,30.96590909090909
