snapshot_date,snapshot_time,source_file,股票代號,股票名稱,收盤價,5日線,10日線,20日線,成交量,5日均量,20日高點,20日低點,量價異常,籌碼1日,籌碼3日,籌碼5日,籌碼10日,外資1日,外資3日,外資5日,外資10日,投信1日,投信3日,投信5日,投信10日,自營商1日,自營商3日,自營商5日,自營商10日,技術分數,狀態,綜合判斷,技術面,籌碼面,AI評語,DeepTrend分數,技術面分數,籌碼分數,量價分數,前次分數,分數變化,分數變化率
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3231.TW,緯創,191.0,162.6,152.5,146.32,282187864,114050684,191.0,132.0,帶量突破20日高點,110166233,155632663,159699038,227335419,91902682,133435632,135886232,199915300,17001000,18929000,20526000,21148246,1262551,3268031,3286806,6271873,195,🔥強勢,強勢觀察,站上5日線、多頭排列、爆量、突破20日高點、帶量突破20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、爆量、突破20日高點、帶量突破20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2498.TW,宏達電,50.0,45.86,45.72,43.9,37219368,16065718,50.0,38.65,帶量突破20日高點,9984413,13401152,16061563,17580865,8688404,11702979,14211979,15975318,-6000,-6000,-8000,-28000,1302009,1704173,1857584,1633547,175,🔥強勢,強勢觀察,站上5日線、多頭排列、爆量、突破20日高點、帶量突破20日高點,法人連續偏買、5日法人明顯買超、外資買投信賣,強勢偏多：站上5日線、多頭排列、爆量、突破20日高點、帶量突破20日高點、法人連續偏買、5日法人明顯買超、外資買投信賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,0056.TW,元大高股息,52.8,50.67,48.59,46.7,69462828,62187537,52.8,43.16,無明顯異常,25398318,73650098,99074323,216453878,20172152,47470733,61094393,118371139,0,230000,2330000,1990000,5226166,25949365,35649930,96092739,160,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、突破20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、突破20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2344.TW,華邦電,184.5,161.9,143.35,131.78,270430116,323417408,184.5,103.5,無明顯異常,25833459,97816855,123740503,284701329,12925256,59740683,74514492,226449583,12930000,36135147,46806299,53900723,-21797,1941025,2419712,4351023,150,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、突破20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、突破20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2376.TW,技嘉,390.5,363.5,343.1,330.3,25610532,24834434,396.0,283.0,無明顯異常,2805857,10499859,11238323,11935285,-415232,490315,905865,1076285,3252000,8962024,9204024,9837945,-30911,1047520,1128434,1021055,150,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、接近20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、接近20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2408.TW,南亞科,419.5,356.8,326.2,314.0,171631936,174919886,419.5,260.0,無明顯異常,23790379,77991729,82243998,66486872,18321681,64821550,70568527,73972511,5366000,12339001,12297001,-5657889,102698,831178,-621530,-1827750,150,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、突破20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、突破20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2317.TW,鴻海,301.5,282.2,266.85,258.18,113076476,152099889,304.5,239.5,無明顯異常,27572146,114808214,134934212,225693771,25502562,99266396,118882485,212312527,2068000,11299000,11432866,9824449,1584,4242818,4618861,3556795,140,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、接近20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、接近20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2330.TW,台積電,2380.0,2337.0,2293.5,2273.75,41532527,57968955,2415.0,2185.0,無明顯異常,785136,12907350,22090715,14620032,391294,10363903,19174825,6187704,-67897,739567,740799,6162807,461739,1803880,2175091,2269521,140,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、接近20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、接近20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2603.TW,長榮,231.0,218.1,215.95,212.05,35901526,33270264,231.0,195.5,無明顯異常,7951915,28401326,28092687,66256282,-7856376,-13611460,-23562509,-2072646,14904941,39750187,48700678,63699163,903350,2262599,2954518,4629765,140,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、突破20日高點,法人連續偏買、5日法人明顯買超、投信買外資賣,強勢偏多：站上5日線、多頭排列、量能溫和放大、突破20日高點、法人連續偏買、5日法人明顯買超、投信買外資賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3324.TWO,雙鴻,1165.0,1083.0,1041.4,1040.35,7264000,4468600,1220.0,936.0,無明顯異常,2258596,4115203,3668360,2047412,2245986,3765157,3395725,1973522,900,2900,10900,-66915,11710,347146,261735,140805,140,🔥強勢,強勢觀察,站上5日線、多頭排列、成交量放大,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、成交量放大、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。,,,,,,,
